"regulator","TU_prom","Effect","Evidence","Evidence_Level","regulator_id","Promoter","TU","gene_id","Category"
"ArcA","hyaABCDEF[hyaAp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, ITCR, APIORCISFBSCS, BPP]","STRONG","b4401","hyaAp","hyaABCDEF","b0975,b0976,b0972,b0973,b0974,b0977","TF"
"ArcA","hyaABCDEF[hyaAp2]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, ITCR, APIORCISFBSCS, BPP]","STRONG","b4401","hyaAp2","hyaABCDEF","b0975,b0976,b0972,b0973,b0974,b0977","TF"
"ArcA","hybOABCDEFG[hybOp1]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, IEP, ITCR, PM, APIORCISFBSCS]","STRONG","b4401","hybOp1","hybOABCDEFG","b2990,b2991,b2992,b2993,b2994,b2995,b2996,b2997","TF"
"ArcA","icd[icdAp1]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, APIORCISFBSCS, BPP, EME, AIBSPD, CCE]","STRONG","b4401","icdAp1","icd","b1136","TF"
"ArcA","iraM[iraMp1]","+","[AIFS, APPH, APPHINH, GEA, HIFS, BTEI, ICWHO, AIBSCS]","STRONG","b4401","iraMp1","iraM","b1160","TF"
"ArcA","lldPRD[lldPp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, ITCR, AIBSCS, APIORCISFBSCS, BPP]","STRONG","b4401","lldPp","lldPRD","b3604,b3603,b3605","TF"
"ArcA","lpdA[lpdAp]","-","[EME, GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, AIBSCS, AIBSPD, BPP, CCE]","STRONG","b4401","lpdAp","lpdA","b0116","TF"
"ArcA","mdh[mdhp1]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, AISGDTU, BCE]","STRONG","b4401","mdhp1","mdh","b3236","TF"
"ArcA","moeAB[moeAp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","moeAp","moeAB","b0826,b0827","TF"
"ArcA","ndh[ndhp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, AIBSCS]","STRONG","b4401","ndhp","ndh","b1109","TF"
"ArcA","nuoABCEFGHIJKLMN[nuoAp2]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, BCE, SM]","STRONG","b4401","nuoAp2","nuoABCEFGHIJKLMN","b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288","TF"
"ArcA","ompW[ompWp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, AISGDTU, AIBSCS, BPP]","STRONG","b4401","ompWp","ompW","b1256","TF"
"ArcA","oppABCDF[oppAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, ITCR, BPP]","STRONG","b4401","oppAp","oppABCDF","b1243,b1244,b1245,b1246,b1247","TF"
"ArcA","ptsG[ptsGp1]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, BPP]","STRONG","b4401","ptsGp1","ptsG","b1101","TF"
"ArcA","puuAP[puuAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, ICWHO, LTED, AIBSCS]","STRONG","b4401","puuAp","puuAP","b1296,b4742,b1297","TF"
"ArcA","puuDRCBE[puuDp]","-","[AIBSCS, GEA, AIFS, APPH, APPHINH, GEA, HIFS, ICWHO, LTED, AIBSCS]","STRONG","b4401","puuDp","puuDRCBE","b1299,b1301,b1298,b1300,b1302","TF"
"ArcA","rhaT[rhaTp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, AIBSCS]","STRONG","b4401","rhaTp","rhaT","b3907","TF"
"ArcA","rmf[rmfp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, ICWHO, BPP]","STRONG","b4401","rmfp","rmf","b0953","TF"
"ArcA","rpoS[rpoSp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, PM, BPP]","STRONG","b4401","rpoSp","rpoS","b2741","TF"
"ArcA","rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, TAS, BPP]","STRONG","b4401","rpsJp","rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ","b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321","TF"
"ArcA","rsd[rsdp2]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, ICWHO, BPP]","STRONG","b4401","rsdp2","rsd","b3995","TF"
"ArcA","rutABCDEFG[rutAp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, PAGTSBP, AIBSCS]","STRONG","b4401","rutAp","rutABCDEFG","b1007,b1008,b1006,b1009,b1010,b1011,b1012","TF"
"ArcA","sdhCDAB-sucABCD-sdhX[sdhCp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, BPP, APIORCISFBSCS]","STRONG","b4401","sdhCp","sdhCDAB-sucABCD-sdhX","b4764,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729","TF"
"ArcA","sodA[sodAp]","-","[AIFS, APPH, APPHINH, GEA, HIFS, BTEI, BCE, AIBSCS, APIORCISFBSCS]","STRONG","b4401","sodAp","sodA","b3908","TF"
"ArcA","ssb[ssbp2]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, APIORCISFBSCS, BPP]","STRONG","b4401","ssbp2","ssb","b4059","TF"
"ArcA","ssb[ssbp1]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, APIORCISFBSCS, BPP]","STRONG","b4401","ssbp1","ssb","b4059","TF"
"ArcA","ssb[ssbp3]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, APIORCISFBSCS, BPP]","STRONG","b4401","ssbp3","ssb","b4059","TF"
"ArcA","sucAB[sucAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, BPP]","STRONG","b4401","sucAp","sucAB","b0726,b0727","TF"
"ArcA","sucABCD-sdhX[sucAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, BPP]","STRONG","b4401","sucAp","sucABCD-sdhX","b4764,b0726,b0727,b0728,b0729","TF"
"ArcA","tpx[tpxp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, LTED, APIORCISFBSCS]","STRONG","b4401","tpxp","tpx","b1324","TF"
"ArcA","treBC[treBp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, CV(LTED/PM), IEP, ITCR, LTED, PM, AIBSCS]","CONFIRMED","b4401","treBp","treBC","b4239,b4240","TF"
"ArcA","ubiCA[ubiCp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BPP]","STRONG","b4401","ubiCp","ubiCA","b4039,b4040","TF"
"ArcA","uvrA[uvrAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, APIORCISFBSCS, BPP]","STRONG","b4401","uvrAp","uvrA","b4058","TF"
"ArcA","xylR[xylRp]","+","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, BTEI, BPP]","STRONG","b4401","xylRp","xylR","b3569","TF"
"ArcA","ybdN[ybdNp]","+","[AIFS, APPH, APPHINH, GEA, HIFS, ICWHO, AIBSCS]","STRONG","b4401","ybdNp","ybdN","b0602","TF"
"ArcA","ydeA[ydeAp]","-","[GEA, AIFS, APPH, APPHINH, GEA, HIFS, AIBSCS]","STRONG","b4401","ydeAp","ydeA","b1528","TF"
"ArgP","argO[argOp]","+","[GEA, AIFS, HIFS, IEP, IPI, ICWHO, APIORCISFBSCS, BCE, BPP, SM, IC]","STRONG","b2916","argOp","argO","b2923","TF"
"ArgP","argP[argPp]","-","[GEA, IC, AIFS, HIFS, IEP, IPI, BTEI, ICWHO, APIORCISFBSCS, IC]","WEAK","b2916","argPp","argP","b2916","TF"
"ArgP","dapB[dapBp1]","+","[GEA, IC, AIFS, HIFS, IEP, IPI, BTEI, IHBCE, APIORCISFBSCS, BCE, BPP, IC, SM]","STRONG","b2916","dapBp1","dapB","b0031","TF"
"ArgP","dapD[dapDp]","+","[GEA, AIFS, HIFS, IEP, IPI, LTED, BPP]","STRONG","b2916","dapDp","dapD","b0166","TF"
"ArgP","dnaAN-recF[dnaAp1]","+","[GEA, IC, AIFS, HIFS, IEP, IPI, BPP, IC]","STRONG","b2916","dnaAp1","dnaAN-recF","b3702,b3700,b3701","TF"
"ArgP","gdhA[gdhAp]","+","[GEA, AIFS, HIFS, IEP, IPI, LTED, BPP, SM]","STRONG","b2916","gdhAp","gdhA","b1761","TF"
"ArgP","lysA[lysAp]","+","[GEA, AIFS, HIFS, IEP, IPI, BPP]","STRONG","b2916","lysAp","lysA","b2838","TF"
"ArgP","lysC[lysCp1]","+","[GEA, AIFS, HIFS, IEP, IPI, ICWHO, BPP]","STRONG","b2916","lysCp1","lysC","b4024","TF"
"ArgP","lysP[lysPp]","+","[GEA, IC, AIFS, HIFS, IEP, IPI, ICWHO, APIORCISFBSCS, BPP, IC, SM]","STRONG","b2916","lysPp","lysP","b2156","TF"
"ArgP","nrdAB-yfaE[nrdAp]","+","[GEA, IC, AIFS, HIFS, IEP, IPI, PAGTSBP, BPP, IC]","STRONG","b2916","nrdAp","nrdAB-yfaE","b2236,b2234,b2235","TF"
