"regulator","gene_name","gene_id","effect","evidence","source","category","regulator_label","Use","regulator_id"
"ArcA","sodA","b3908","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","sroD","","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ssb","b4059","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","tpx","b1324","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","treB","b4240","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","treC","b4239","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ubiA","b4040","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ubiC","b4039","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","uvrA","b4058","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","xylR","b3569","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ybdN","b0602","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ydeA","b1528","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArcA","ymjE","b4742","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4401"
"ArgP","argO","b2923","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","argP","b2916","-","WEAK","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","dapB","b0031","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","dapD","b0166","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","dnaA","b3702","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","dnaN","b3701","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","gdhA","b1761","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","lysA","b2838","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","lysC","b4024","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","lysP","b2156","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","nrdA","b2234","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","nrdB","b2235","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","recF","b3700","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgP","yfaE","b2236","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2916"
"ArgR","argA","b2818","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argB","b3959","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argC","b3958","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argD","b3359","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argE","b3957","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argF","b0273","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argG","b3172","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argH","b3960","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argI","b4254","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","argR","b3237","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","artI","b0863","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","artJ","b0860","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","artM","b0861","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","artP","b0864","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","artQ","b0862","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","astA","b1747","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","astB","b1745","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","astC","b1748","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","astD","b1746","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","astE","b1744","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","carA","b0032","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","carB","b0033","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","gltB","b3212","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","gltD","b3213","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","gltF","b3214","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","hisJ","b2309","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","hisM","b2307","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","hisP","b2306","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","hisQ","b2308","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","infB","b3168","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","lysO","b0874","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","metY","b3171","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","nusA","b3169","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","pnp","b3164","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","rbfA","b3167","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","rimP","b3170","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","rpsO","b3165","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArgR","truB","b3166","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3237"
"ArsR","arsB","b3502","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3501"
