Start	End	Gene	Strand	Name	Parent	Product	Bnb	JWnb	ECKnb
29651	30799	CDS	D	carA	carA	carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase	b0032	JW0030	ECK0033
30817	34038	CDS	D	carB	carB	carbamoyl-phosphate synthase large subunit	b0033	JW0031	ECK0034
34300	34695	CDS	D	caiF	caiF	DNA-binding transcriptional activator	b0034	JW0033	ECK0035
34781	35371	CDS	C	caiE	caiE	predicted acyl transferase	b0035	JW5004	ECK0036
35377	36270	CDS	C	caiD	caiD	crotonobetainyl CoA hydratase	b0036	JW0035	ECK0037
36271	37839	CDS	C	caiC	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase	b0037	JW0036	ECK0038
37898	39115	CDS	C	caiB	caiB	crotonobetainyl CoA:carnitine CoA transferase	b0038	JW0037	ECK0039
39244	40386	CDS	C	caiA	caiA	crotonobetaine reductase subunit II%2C FAD-binding	b0039	JW0038	ECK0040
40417	41931	CDS	C	caiT	caiT	predicted transporter	b0040	JW0039	ECK0041
42403	43173	CDS	D	fixA	fixA	predicted electron transfer flavoprotein subunit%2C ETFP adenine nucleotide-binding domain	b0041	JW0040	ECK0042
43188	44129	CDS	D	fixB	fixB	predicted electron transfer flavoprotein%2C NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	b0042	JW0041	ECK0043
44180	45466	CDS	D	fixC	fixC	predicted oxidoreductase%2C FAD/NAD(P)-binding domain	b0043	JW0042	ECK0044
45463	45750	CDS	D	fixX	fixX	predicted 4Fe-4S ferredoxin-type protein	b0044	JW0043	ECK0045
45807	47138	CDS	D	yaaU	yaaU	predicted transporter	b0045	JW0044	ECK0046
47246	47776	CDS	D	kefF	kefF	flavoprotein subunit for the KefC potassium efflux system	b0046	JW0045	ECK0047
47769	49631	CDS	D	kefC	kefC	potassium:proton antiporter	b0047	JW0046	ECK0048
49823	50302	CDS	D	folA	folA	dihydrofolate reductase	b0048	JW0047	ECK0049
50380	51222	CDS	C	apaH	apaH	diadenosine tetraphosphatase	b0049	JW0048	ECK0050
51229	51606	CDS	C	apaG	apaG	protein associated with Co2+ and Mg2+ efflux	b0050	JW0049	ECK0051
51609	52430	CDS	C	ksgA	ksgA	S-adenosylmethionine-6-N'%2CN'-adenosyl (rRNA) dimethyltransferase	b0051	JW0050	ECK0052
52427	53416	CDS	C	pdxA	pdxA	4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent	b0052	JW0051	ECK0053
53416	54702	CDS	C	surA	surA	peptidyl-prolyl cis-trans isomerase	b0053	JW0052	ECK0054
54755	57109	CDS	C	imp	imp	exported protein required for envelope biosynthesis and integrity	b0054	JW0053	ECK0055
57364	58179	CDS	D	djlA	djlA	DnaJ-like protein%2C membrane anchored	b0055	JW0054	ECK0056
58474	59124	CDS	D	yabP	yabP	hypothetical protein	b0056	JW0055	ECK0057
59121	59279	CDS	D	yabQ	yabQ	hypothetical protein	b0057	JW0056	ECK0058
59687	60346	CDS	C	rluA	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	b0058	JW0057	ECK0059
60358	63264	CDS	C	hepA	hepA	RNA polymerase-associated helicase protein	b0059	JW0058	ECK0060
63429	65780	CDS	C	polB	polB	DNA polymerase II	b0060	JW0059	ECK0061
65855	66550	CDS	C	araD	araD	L-ribulose-5-phosphate 4-epimerase	b0061	JW0060	ECK0062
66835	68337	CDS	C	araA	araA	L-arabinose isomerase	b0062	JW0061	ECK0063
68348	70048	CDS	C	araB	araB	L-ribulokinase	b0063	JW0062	ECK0064
70387	71265	CDS	D	araC	araC	DNA-binding transcriptional dual regulator	b0064	JW0063	ECK0065
71351	72115	CDS	D	yabI	yabI	conserved inner membrane protein	b0065	JW5005	ECK0066
72229	72927	CDS	C	thiQ	thiQ	thiamin transporter subunit	b0066	JW0065	ECK0067
72911	74521	CDS	C	thiP	thiP	fused subunits of thiamin transporter and membrane components of ABC superfamily	b0067	JW0066	ECK0068
74497	75480	CDS	C	tbpA	tbpA	thiamin transporter subunit	b0068	JW0067	ECK0069
75644	77299	CDS	C	sgrR	sgrR	DNA-binding transcriptional regulator	b0069	JW0068	ECK0070
77367	77593	transcript	D	sgrS	sgrS	sgrS	b4577	JWR0259	ECK0071
77621	78799	CDS	D	setA	setA	broad specificity sugar efflux system	b0070	JW0069	ECK0072
78848	79453	CDS	C	leuD	leuD	3-isopropylmalate isomerase subunit	b0071	JW0070	ECK0073
79464	80864	CDS	C	leuC	leuC	3-isopropylmalate isomerase subunit%2C dehydratase component	b0072	JW0071	ECK0074
80867	81958	CDS	C	leuB	leuB	3-isopropylmalate dehydrogenase	b0073	JW5807	ECK0075
81958	83529	CDS	C	leuA	leuA	2-isopropylmalate synthase	b0074	JW0073	ECK0076
83622	83708	CDS	C	leuL	leuL	leu operon leader peptide	b0075	JW0074	ECK0077
84368	85312	CDS	D	leuO	leuO	DNA-binding transcriptional activator	b0076	JW0075	ECK0078
85630	87354	CDS	D	ilvI	ilvI	acetolactate synthase III%2C large subunit	b0077	JW0076	ECK0079
87357	87848	CDS	D	ilvH	ilvH	acetolactate synthase III%2C thiamin-dependent%2C small subunit	b0078	JW0077	ECK0080
88028	89032	CDS	D	fruR	fruR	DNA-binding transcriptional dual regulator	b0080	JW0078	ECK0081
89634	90092	CDS	D	mraZ	mraZ	conserved hypothetical protein	b0081	JW0079	ECK0082
90094	91035	CDS	D	mraW	mraW	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	b0082	JW0080	ECK0083
91032	91397	CDS	D	ftsL	ftsL	membrane bound cell division protein at septum containing leucine zipper motif	b0083	JW0081	ECK0084
91413	93179	CDS	D	ftsI	ftsI	transpeptidase involved in septal peptidoglycan synthesis	b0084	JW0082	ECK0085
93166	94653	CDS	D	murE	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	b0085	JW0083	ECK0086
94650	96008	CDS	D	murF	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	b0086	JW0084	ECK0087
96002	97084	CDS	D	mraY	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase	b0087	JW0085	ECK0088
97087	98403	CDS	D	murD	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	b0088	JW0086	ECK0089
98403	99647	CDS	D	ftsW	ftsW	integral membrane protein involved in stabilising FstZ ring during cell division	b0089	JW0087	ECK0090
99644	100711	CDS	D	murG	murG	N-acetylglucosaminyl transferase	b0090	JW0088	ECK0091
100765	102240	CDS	D	murC	murC	UDP-N-acetylmuramate:L-alanine ligase	b0091	JW0089	ECK0092
102233	103153	CDS	D	ddlB	ddlB	D-Alanine:D-alanine ligase	b0092	JW0090	ECK0093
103155	103985	CDS	D	ftsQ	ftsQ	membrane anchored protein involved in growth of wall at septum	b0093	JW0091	ECK0094
103982	105244	CDS	D	ftsA	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	b0094	JW0092	ECK0095
105305	106456	CDS	D	ftsZ	ftsZ	GTP-binding tubulin-like cell division protein	b0095	JW0093	ECK0096
106557	107474	CDS	D	lpxC	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase	b0096	JW0094	ECK0097
107705	108217	CDS	D	secM	secM	regulator of secA translation	b0097	JW5007	ECK0098
108279	110984	CDS	D	secA	secA	preprotein translocase subunit%2C ATPase that targets protein precursors to the SecYE core translocon	b0098	JW0096	ECK0099
111044	111433	CDS	D	mutT	mutT	nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP	b0099	JW0097	ECK0100
111649	111846	CDS	C	yacG	yacG	conserved hypothetical protein	b0101	JW5008	ECK0101
111856	112599	CDS	C	yacF	yacF	conserved hypothetical protein	b0102	JW0099	ECK0102
112599	113219	CDS	C	coaE	coaE	dephospho-CoA kinase	b0103	JW0100	ECK0103
113444	114487	CDS	D	guaC	guaC	GMP reductase	b0104	JW0101	ECK0104
114522	115724	CDS	C	hofC	hofC	assembly protein in type IV pilin biogenesis%2C transmembrane protein	b0106	JW0102	ECK0105
115714	117099	CDS	C	hofB	hofB	conserved hypothetical protein with nucleoside triphosphate hydrolase domain	b0107	JW0103	ECK0106
117109	117549	CDS	C	ppdD	ppdD	predicted major pilin subunit	b0108	JW0104	ECK0107
117752	118645	CDS	C	nadC	nadC	quinolinate phosphoribosyltransferase	b0109	JW0105	ECK0108
118733	119284	CDS	D	ampD	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase	b0110	JW0106	ECK0109
119281	120135	CDS	D	ampE	ampE	predicted inner membrane protein	b0111	JW0107	ECK0110
120178	121551	CDS	C	aroP	aroP	aromatic amino acid transporter	b0112	JW0108	ECK0111
122092	122856	CDS	D	pdhR	pdhR	DNA-binding transcriptional dual regulator	b0113	JW0109	ECK0112
123017	125680	CDS	D	aceE	aceE	pyruvate dehydrogenase%2C decarboxylase component E1%2C thiamin-binding	b0114	JW0110	ECK0113
125695	127587	CDS	D	aceF	aceF	pyruvate dehydrogenase%2C dihydrolipoyltransacetylase component E2	b0115	JW0111	ECK0114
127912	129336	CDS	D	lpd	lpd	lipoamide dehydrogenase%2C E3 component is part of three enzyme complexes	b0116	JW0112	ECK0115
129407	131260	CDS	C	yacH	yacH	hypothetical protein	b0117	JW0113	ECK0116
131615	134212	CDS	D	acnB	acnB	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	b0118	JW0114	ECK0117
134388	134750	CDS	D	yacL	yacL	conserved hypothetical protein	b0119	JW0115	ECK0118
134788	135582	CDS	C	speD	speD	S-adenosylmethionine decarboxylase	b0120	JW0116	ECK0119
135598	136464	CDS	C	speE	speE	spermidine synthase	b0121	JW0117	ECK0120
136570	136917	CDS	C	yacC	yacC	hypothetical protein	b0122	JW0118	ECK0121
137083	138633	CDS	D	cueO	cueO	multicopper oxidase (laccase)	b0123	JW0119	ECK0122
138835	141225	CDS	C	gcd	gcd	glucose dehydrogenase	b0124	JW0120	ECK0123
141431	141967	CDS	D	hpt	hpt	hypoxanthine phosphoribosyltransferase	b0125	JW5009	ECK0124
142008	142670	CDS	C	can	can	carbonic anhydrase	b0126	JW0122	ECK0125
142779	143705	CDS	D	yadG	yadG	predicted transporter subunit	b0127	JW0123	ECK0126
143702	144472	CDS	D	yadH	yadH	predicted transporter subunit	b0128	JW0124	ECK0127
144577	145017	CDS	D	yadI	yadI	predicted PTS Enzyme IIA	b0129	JW0125	ECK0128
145081	146310	CDS	D	yadE	yadE	predicted polysaccharide deacetylase lipoprotein	b0130	JW0126	ECK0129
146314	146694	CDS	C	panD	panD	aspartate 1-decarboxylase	b0131	JW0127	ECK0130
146968	147870	CDS	D	yadD	yadD	predicted transposase	b0132	JW5010	ECK0131
147944	148795	CDS	C	panC	panC	pantothenate synthetase	b0133	JW0129	ECK0132
148807	149601	CDS	C	panB	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	b0134	JW0130	ECK0133
149715	150953	CDS	C	yadC	yadC	predicted fimbrial-like adhesin protein	b0135	JW0131	ECK0134
151003	151599	CDS	C	yadK	yadK	predicted fimbrial-like adhesin protein	b0136	JW0132	ECK0135
151626	152231	CDS	C	yadL	yadL	predicted fimbrial-like adhesin protein	b0137	JW0133	ECK0136
152243	152812	CDS	C	yadM	yadM	predicted fimbrial-like adhesin protein	b0138	JW0134	ECK0137
152829	155426	CDS	C	htrE	htrE	predicted outer membrane usher protein	b0139	JW0135	ECK0138
155461	156201	CDS	C	ecpD	ecpD	predicted periplasmic pilin chaperone	b0140	JW0136	ECK0139
156299	156883	CDS	C	yadN	yadN	predicted fimbrial-like adhesin protein	b0141	JW0137	ECK0140
157253	157732	CDS	C	folK	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	b0142	JW0138	ECK0141
157729	159126	CDS	C	pcnB	pcnB	poly(A) polymerase I	b0143	JW5808	ECK0142
159186	160112	CDS	C	yadB	yadB	glutamyl-Q tRNA(Asp) synthetase	b0144	JW5892	ECK0143
160149	160604	CDS	C	dksA	dksA	transcriptional regulator of rRNA transcription%2C DnaK suppressor protein	b0145	JW0141	ECK0144
160782	161486	CDS	C	sfsA	sfsA	predicted DNA-binding transcriptional regulator	b0146	JW0142	ECK0145
161501	162031	CDS	C	ligT	ligT	2'-5' RNA ligase	b0147	JW5011	ECK0146
162105	164534	CDS	D	hrpB	hrpB	predicted ATP-dependent helicase	b0148	JW0144	ECK0147
164730	167264	CDS	D	mrcB	mrcB	fused glycosyl transferase and transpeptidase	b0149	JW0145	ECK0148
167484	169727	CDS	D	fhuA	fhuA	ferrichrome outer membrane transporter	b0150	JW0146	ECK0149
169778	170575	CDS	D	fhuC	fhuC	iron-hydroxamate transporter subunit	b0151	JW0147	ECK0150
170575	171465	CDS	D	fhuD	fhuD	iron-hydroxamate transporter subunit	b0152	JW0148	ECK0151
171462	173444	CDS	D	fhuB	fhuB	fused subunits of iron-hydroxamate transporter and membrane components of ABC superfamily transporter	b0153	JW0149	ECK0152
173602	174882	CDS	C	hemL	hemL	glutamate-1-semialdehyde aminotransferase	b0154	JW0150	ECK0153
175107	176528	CDS	D	clcA	clcA	chloride channel%2C voltage-gated	b0155	JW5012	ECK0154
176610	176954	CDS	D	yadR	yadR	conserved hypothetical protein	b0156	JW0152	ECK0155
177001	177624	CDS	C	yadS	yadS	conserved inner membrane protein	b0157	JW0153	ECK0156
177662	178462	CDS	C	btuF	btuF	vitamin B12 transporter subunit	b0158	JW0154	ECK0157
178455	179153	CDS	C	pfs	pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	b0159	JW0155	ECK0158
179237	180754	CDS	D	dgt	dgt	deoxyguanosine triphosphate triphosphohydrolase	b0160	JW0156	ECK0159
180884	182308	CDS	D	degP	degP	serine endoprotease (protease Do)%2C membrane-associated	b0161	JW0157	ECK0160
182463	183620	CDS	D	cdaR	cdaR	DNA-binding transcriptional regulator	b0162	JW5013	ECK0161
183709	184095	CDS	C	yaeH	yaeH	conserved hypothetical protein	b0163	JW0159	ECK0162
184257	185069	CDS	C	yaeI	yaeI	predicted phosphatase	b0164	JW5014	ECK0163
185123	185947	CDS	C	dapD	dapD	2%2C3%2C4%2C5-tetrahydropyridine-2-carboxylate N-succinyltransferase	b0166	JW0161	ECK0164
185978	188650	CDS	C	glnD	glnD	uridylyltransferase	b0167	JW0162	ECK0165
188712	189506	CDS	C	map	map	methionine aminopeptidase	b0168	JW0163	ECK0166
189712	189847	transcript	D	tff	tff	tff	b4414	JWR0225	ECK0167
189874	190599	CDS	D	rpsB	rpsB	30S ribosomal subunit protein S2	b0169	JW0164	ECK0168
190857	191708	CDS	D	tsf	tsf	protein chain elongation factor EF-Ts	b0170	JW0165	ECK0169
191855	192580	CDS	D	pyrH	pyrH	uridylate kinase	b0171	JW0166	ECK0170
192872	193429	CDS	D	frr	frr	ribosome recycling factor	b0172	JW0167	ECK0171
193521	194717	CDS	D	dxr	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	b0173	JW0168	ECK0172
194903	195664	CDS	D	ispU	ispU	undecaprenyl pyrophosphate synthase	b0174	JW0169	ECK0173
195677	196534	CDS	D	cdsA	cdsA	CDP-diglyceride synthase	b0175	JW5810	ECK0174
196546	197898	CDS	D	yaeL	yaeL	zinc metallopeptidase	b0176	JW0171	ECK0175
197928	200360	CDS	D	yaeT	yaeT	conserved hypothetical protein	b0177	JW0172	ECK0176
200482	200967	CDS	D	hlpA	hlpA	periplasmic chaperone	b0178	JW0173	ECK0177
200971	201996	CDS	D	lpxD	lpxD	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	b0179	JW0174	ECK0178
202101	202556	CDS	D	fabZ	fabZ	(3R)-hydroxymyristol acyl carrier protein dehydratase	b0180	JW0175	ECK0179
202560	203348	CDS	D	lpxA	lpxA	UDP-N-acetylglucosamine acetyltransferase	b0181	JW0176	ECK0180
203348	204496	CDS	D	lpxB	lpxB	tetraacyldisaccharide-1-P synthase	b0182	JW0177	ECK0181
204493	205089	CDS	D	rnhB	rnhB	ribonuclease HII%2C degrades RNA of DNA-RNA hybrids	b0183	JW0178	ECK0182
205126	208608	CDS	D	dnaE	dnaE	DNA polymerase III alpha subunit	b0184	JW0179	ECK0183
208621	209580	CDS	D	accA	accA	acetylCoA carboxylase%2C carboxytransferase%2C alpha subunit	b0185	JW0180	ECK0184
209679	211820	CDS	D	ldcC	ldcC	lysine decarboxylase 2%2C constitutive	b0186	JW0181	ECK0185
211877	212266	CDS	D	yaeR	yaeR	predicted lyase	b0187	JW0182	ECK0186
212331	213629	CDS	D	tilS	tilS	tRNA(Ile)-lysidine synthetase	b0188	JW0183	ECK0187
213678	213932	CDS	C	rof	rof	modulator of Rho-dependent transcription termination	b0189	JW0184	ECK0188
213925	214125	CDS	C	yaeP	yaeP	conserved hypothetical protein	b4406	JW0185	ECK0189
214291	214836	CDS	D	yaeQ	yaeQ	conserved hypothetical protein	b0190	JW0186	ECK0190
214833	215255	CDS	D	yaeJ	yaeJ	conserved hypothetical protein	b0191	JW0187	ECK0191
215269	215979	CDS	D	nlpE	nlpE	lipoprotein involved with copper homeostasis and adhesion	b0192	JW0188	ECK0192
216179	217003	CDS	C	yaeF	yaeF	predicted lipoprotein	b0193	JW5016	ECK0193
217057	218775	CDS	C	proS	proS	prolyl-tRNA synthetase	b0194	JW0190	ECK0194
218887	219594	CDS	C	yaeB	yaeB	conserved hypothetical protein	b0195	JW0191	ECK0195
219591	219995	CDS	C	rcsF	rcsF	predicted outer membrane protein%2C signal	b0196	JW0192	ECK0196
220113	220928	CDS	C	metQ	metQ	DL-methionine transporter subunit	b0197	JW0193	ECK0197
220968	221621	CDS	C	metI	metI	DL-methionine transporter subunit	b0198	JW0194	ECK0198
221614	222645	CDS	C	metN	metN	DL-methionine transporter subunit	b0199	JW0195	ECK0199
222833	223408	CDS	D	gmhB	gmhB	D%2CD-heptose 1%2C7-bisphosphate phosphatase	b0200	JW0196	ECK0200
223771	225312	rRNA	D	rrsH	rrsH	rrsH	b0201	JWR0001	ECK0201
225381	225457	tRNA	D	ileV	ileV	ileV	b0202	JWR0002	ECK0202
225500	225575	tRNA	D	alaV	alaV	alaV	b0203	JWR0003	ECK0203
225759	228662	rRNA	D	rrlH	rrlH	rrlH	b0204	JWR0004	ECK0204
228756	228875	rRNA	D	rrfH	rrfH	rrfH	b0205	JWR0005	ECK0205
228928	229004	tRNA	D	aspU	aspU	aspU	b0206	JWR0006	ECK0206
229167	229970	CDS	D	dkgB	dkgB	2%2C5-diketo-D-gluconate reductase B	b0207	JW0197	ECK0207
229967	230881	CDS	C	yafC	yafC	predicted DNA-binding transcriptional regulator	b0208	JW0198	ECK0208
231122	231922	CDS	D	yafD	yafD	conserved hypothetical protein	b0209	JW5017	ECK0209
231926	232549	CDS	D	yafE	yafE	predicted S-adenosyl-L-methionine-dependent methyltransferase	b0210	JW0200	ECK0210
232597	233955	CDS	C	mltD	mltD	predicted membrane-bound lytic murein transglycosylase D	b0211	JW5018	ECK0211
234027	234782	CDS	C	gloB	gloB	predicted hydroxyacylglutathione hydrolase	b0212	JW0202	ECK0212
234816	235538	CDS	D	yafS	yafS	predicted S-adenosyl-L-methionine-dependent methyltransferase	b0213	JW0203	ECK0213
235535	236002	CDS	C	rnhA	rnhA	ribonuclease HI%2C degrades RNA of DNA-RNA hybrids	b0214	JW0204	ECK0214
236067	236798	CDS	D	dnaQ	dnaQ	DNA polymerase III epsilon subunit	b0215	JW0205	ECK0215
236931	237007	tRNA	D	aspV	aspV	aspV	b0216	JWR0007	ECK0216
237335	238120	CDS	D	yafT	yafT	predicted aminopeptidase	b0217	JW0206	ECK0217
238746	239084	CDS	C	yafU	yafU	predicted inner membrane protein	b0218	JW0207	ECK0218
239190	239378	CDS	D	yafF	yafF	conserved hypothetical protein	b4503	JW0208	ECK0219
239419	240189	CDS	C	yafV	yafV	predicted C-N hydrolase family amidase%2C NAD(P)-binding	b0219	JW5019	ECK0220
240343	240816	CDS	D	ivy	ivy	inhibitor of vertebrate C-lysozyme	b0220	JW0210	ECK0221
240859	243303	CDS	C	fadE	fadE	acyl coenzyme A dehydrogenase	b0221	JW5020	ECK0222
243543	244121	CDS	D	lpcA	lpcA	D-sedoheptulose 7-phosphate isomerase	b0222	JW0212	ECK0223
244327	245094	CDS	D	yafJ	yafJ	predicted amidotransfease	b0223	JW0213	ECK0224
245065	245805	CDS	C	yafK	yafK	conserved hypothetical protein	b0224	JW0214	ECK0225
245961	246239	CDS	C	yafQ	yafQ	predicted toxin of the YafQ-DinJ toxin-antitoxin system	b0225	JW0215	ECK0226
246242	246502	CDS	C	dinJ	dinJ	predicted antitoxin of YafQ-DinJ toxin-antitoxin system	b0226	JW0216	ECK0227
246712	247461	CDS	D	yafL	yafL	predicted lipoprotein and C40 family peptidase	b0227	JW0217	ECK0228
247637	248134	CDS	D	yafM	yafM	conserved hypothetical protein	b0228	JW0218	ECK0229
248358	250070	CDS	C	fhiA	fhiA	fhiA	b0229	JW5811	ECK0230
250072	250827	CDS	D	mbhA	mbhA	mbhA	b0230	JW5812	ECK0231
250898	251953	CDS	D	dinB	dinB	DNA polymerase IV	b0231	JW0221	ECK0232
252005	252298	CDS	D	yafN	yafN	predicted antitoxin of the YafO-YafN toxin-antitoxin system	b0232	JW0222	ECK0233
252301	252699	CDS	D	yafO	yafO	predicted toxin of the YafO-YafN toxin-antitoxin system	b0233	JW0223	ECK0234
252709	253161	CDS	D	yafP	yafP	predicted acyltransferase with acyl-CoA N-acyltransferase domain	b0234	JW0224	ECK0235
253467	253733	CDS	D	ykfJ	ykfJ	conserved hypothetical protein	b0235	JW0225	ECK0236
253702	254202	CDS	D	prfH	prfH	predicted peptide chain release factor	b0236	JW0226	ECK0237
254259	255716	CDS	C	pepD	pepD	aminoacyl-histidine dipeptidase	b0237	JW0227	ECK0238
255977	256435	CDS	D	gpt	gpt	guanine-hypoxanthine phosphoribosyltransferase	b0238	JW0228	ECK0239
256527	257771	CDS	D	frsA	frsA	hydrolase%2C binds to enzyme IIA(Glc)	b0239	JW0229	ECK0240
257829	258230	CDS	D	crl	crl	DNA-binding transcriptional regulator	b0240	JW0230	ECK0241
258269	259324	CDS	C	phoE	phoE	outer membrane phosphoporin protein E	b0241	JW0231	ECK0242
259612	260715	CDS	D	proB	proB	gamma-glutamate kinase	b0242	JW0232	ECK0243
260727	261980	CDS	D	proA	proA	gamma-glutamylphosphate reductase	b0243	JW0233	ECK0244
262095	262170	tRNA	D	thrW	thrW	thrW	b0244	JWR0008	ECK0245
262552	262893	CDS	C	ykfI	ykfI	toxin of the YkfI-YafW toxin-antitoxin system	b0245	JW0234	ECK0246
262914	263231	CDS	C	yafW	yafW	antitoxin of the YkfI-YafW toxin-antitoxin system	b0246	JW0235	ECK0247
263250	263471	CDS	C	ykfH	ykfH	hypothetical protein	b4504	JW5956	ECK0248
263480	263956	CDS	C	ykfG	ykfG	predicted DNA repair protein	b0247	JW0236	ECK0249
263972	264430	CDS	C	yafX	yafX	hypothetical protein	b0248	JW5022	ECK0250
264528	264767	CDS	C	ykfF	ykfF	hypothetical protein	b0249	JW5023	ECK0251
264844	265311	CDS	C	ykfB	ykfB	hypothetical protein	b0250	JW0239	ECK0252
265334	266191	CDS	C	yafY	yafY	predicted DNA-binding transcriptional regulator	b0251	JW0240	ECK0253
266408	267229	CDS	C	yafZ	yafZ	conserved hypothetical protein	b0252	JW0242	ECK0254
267321	268184	CDS	C	ykfA	ykfA	predicted GTP-binding protein	b0253	JW0243	ECK0255
268513	269406	CDS	C	perR	perR	predicted DNA-binding transcriptional regulator	b0254	JW0244	ECK0256
272071	273216	CDS	D	ykfC	ykfC	conserved hypothetical protein	b0258	JW5813	ECK0260
274549	275952	CDS	D	mmuP	mmuP	predicted S-methylmethionine transporter	b0260	JW5027	ECK0262
275939	276871	CDS	D	mmuM	mmuM	S-methylmethionine:homocysteine methyltransferase	b0261	JW0253	ECK0263
276980	278026	CDS	C	afuC	afuC	predicted ferric transporter subunit	b0262	JW0254	ECK0264
278038	278400	CDS	C	afuB	afuB	predicted ferric trasnporter subunit	b0263	JW0255	ECK0265
279248	279586	CDS	C	ykgN	ykgN	predicted IS protein	b4505	JW0258	ECK0266
279609	279959	CDS	C	yagB	yagB	conserved hypothetical protein	b0266	JW0259	ECK0267
280053	281207	CDS	C	yagA	yagA	predicted DNA-binding transcriptional regulator	b0267	JW0260	ECK0268
281481	282410	CDS	D	yagE	yagE	predicted lyase/synthase	b0268	JW0261	ECK0269
282425	284392	CDS	D	yagF	yagF	predicted dehydratase	b0269	JW0262	ECK0270
284619	286001	CDS	D	yagG	yagG	predicted sugar transporter	b0270	JW0263	ECK0271
