"","ProbeName","Count","Count.gbkey","Gbkeys","IDs","ECKnbs","JWnbs","Bnbs","IStag"
"31","caiF",1,1,"CDS","cds-BAE76036.1","ECK0035","JW0033","b0034",FALSE
"32","caiE",1,1,"CDS","cds-BAB96604.2","ECK0036","JW5004","b0035",FALSE
"33","caiD",1,1,"CDS","cds-BAB96605.2","ECK0037","JW0035","b0036",FALSE
"34","caiC",1,1,"CDS","cds-BAB96606.1","ECK0038","JW0036","b0037",FALSE
"35","caiB",1,1,"CDS","cds-BAB96607.1","ECK0039","JW0037","b0038",FALSE
"36","caiA",1,1,"CDS","cds-BAB96608.2","ECK0040","JW0038","b0039",FALSE
"37","caiT",1,1,"CDS","cds-BAB96609.2","ECK0041","JW0039","b0040",FALSE
"38","fixA",1,1,"CDS","cds-BAB96610.2","ECK0042","JW0040","b0041",FALSE
"39","fixB",1,1,"CDS","cds-BAE76037.1","ECK0043","JW0041","b0042",FALSE
"40","fixC",1,1,"CDS","cds-BAB96611.2","ECK0044","JW0042","b0043",FALSE
"41","fixX",1,1,"CDS","cds-BAB96612.2","ECK0045","JW0043","b0044",FALSE
"42","yaaU",1,1,"CDS","cds-BAB96613.2","ECK0046","JW0044","b0045",FALSE
"43","kefF",1,1,"CDS","cds-BAB96614.2","ECK0047","JW0045","b0046",FALSE
"44","kefC",1,1,"CDS","cds-BAB96615.1","ECK0048","JW0046","b0047",FALSE
"45","folA",1,1,"CDS","cds-BAB96616.1","ECK0049","JW0047","b0048",FALSE
"46","apaH",1,1,"CDS","cds-BAB96617.2","ECK0050","JW0048","b0049",FALSE
"47","apaG",1,1,"CDS","cds-BAB96618.1","ECK0051","JW0049","b0050",FALSE
"48","ksgA",1,1,"CDS","cds-BAE76038.1","ECK0052","JW0050","b0051",FALSE
"49","pdxA",1,1,"CDS","cds-BAB96619.1","ECK0053","JW0051","b0052",FALSE
"50","surA",1,1,"CDS","cds-BAB96620.2","ECK0054","JW0052","b0053",FALSE
"51","imp",1,1,"CDS","cds-BAB96622.1","ECK0055","JW0053","b0054",FALSE
"52","djlA",1,1,"CDS","cds-BAB96623.1","ECK0056","JW0054","b0055",FALSE
"53","yabP",1,1,"CDS","cds-BAB96624.2","ECK0057","JW0055","b0056",FALSE
"54","yabQ",1,1,"CDS","cds-BAB96625.1","ECK0058","JW0056","b0057",FALSE
"55","rluA",1,1,"CDS","cds-BAE76039.1","ECK0059","JW0057","b0058",FALSE
"56","hepA",1,1,"CDS","cds-BAB96627.1","ECK0060","JW0058","b0059",FALSE
"57","polB",1,1,"CDS","cds-BAB96628.2","ECK0061","JW0059","b0060",FALSE
"58","araD",1,1,"CDS","cds-BAB96630.1","ECK0062","JW0060","b0061",FALSE
"59","araA",1,1,"CDS","cds-BAB96631.2","ECK0063","JW0061","b0062",FALSE
"60","araB",1,1,"CDS","cds-BAB96632.2","ECK0064","JW0062","b0063",FALSE
"61","araC",1,1,"CDS","cds-BAB96633.1","ECK0065","JW0063","b0064",FALSE
"62","yabI",1,1,"CDS","cds-BAB96634.2","ECK0066","JW5005","b0065",FALSE
"63","thiQ",1,1,"CDS","cds-BAB96635.2","ECK0067","JW0065","b0066",FALSE
"64","thiP",1,1,"CDS","cds-BAB96636.2","ECK0068","JW0066","b0067",FALSE
"65","tbpA",1,1,"CDS","cds-BAB96637.2","ECK0069","JW0067","b0068",FALSE
"66","sgrR",1,1,"CDS","cds-BAB96638.2","ECK0070","JW0068","b0069",FALSE
"67","sgrS",1,2,"misc_RNA,misc_RNA","rna-sgrS,exon-sgrS-1","ECK0071","JWR0259","b4577",FALSE
"68","setA",1,1,"CDS","cds-BAB96639.2","ECK0072","JW0069","b0070",FALSE
"69","leuD",1,1,"CDS","cds-BAB96640.1","ECK0073","JW0070","b0071",FALSE
"70","leuC",1,1,"CDS","cds-BAB96641.2","ECK0074","JW0071","b0072",FALSE
"71","leuB",1,1,"CDS","cds-BAB96642.1","ECK0075","JW5807","b0073",FALSE
"72","leuA",1,1,"CDS","cds-BAB96643.2","ECK0076","JW0073","b0074",FALSE
"73","leuL",1,1,"CDS","cds-BAB96644.1","ECK0077","JW0074","b0075",FALSE
"74","leuO",1,1,"CDS","cds-BAB96645.2","ECK0078","JW0075","b0076",FALSE
"75","ilvI",1,1,"CDS","cds-BAB96646.2","ECK0079","JW0076","b0077",FALSE
"76","ilvH",1,1,"CDS","cds-BAB96647.2","ECK0080","JW0077","b0078",FALSE
"77","fruR",1,1,"CDS","cds-BAB96648.1","ECK0081","JW0078","b0080",FALSE
"78","mraZ",1,1,"CDS","cds-BAB96649.1","ECK0082","JW0079","b0081",FALSE
"79","mraW",1,1,"CDS","cds-BAB96650.1","ECK0083","JW0080","b0082",FALSE
"80","ftsL",1,1,"CDS","cds-BAB96651.2","ECK0084","JW0081","b0083",FALSE
"81","ftsI",1,1,"CDS","cds-BAB96652.1","ECK0085","JW0082","b0084",FALSE
"82","murE",1,1,"CDS","cds-BAB96653.1","ECK0086","JW0083","b0085",FALSE
"83","murF",1,1,"CDS","cds-BAB96654.2","ECK0087","JW0084","b0086",FALSE
"84","mraY",1,1,"CDS","cds-BAB96655.1","ECK0088","JW0085","b0087",FALSE
"85","murD",1,1,"CDS","cds-BAB96656.1","ECK0089","JW0086","b0088",FALSE
"86","ftsW",1,1,"CDS","cds-BAB96657.1","ECK0090","JW0087","b0089",FALSE
"87","murG",1,1,"CDS","cds-BAB96658.1","ECK0091","JW0088","b0090",FALSE
"88","murC",1,1,"CDS","cds-BAB96659.1","ECK0092","JW0089","b0091",FALSE
"89","ddlB",1,1,"CDS","cds-BAB96660.1","ECK0093","JW0090","b0092",FALSE
"90","ftsQ",1,1,"CDS","cds-BAB96661.1","ECK0094","JW0091","b0093",FALSE
"91","ftsA",1,1,"CDS","cds-BAB96662.1","ECK0095","JW0092","b0094",FALSE
"92","ftsZ",1,1,"CDS","cds-BAB96663.2","ECK0096","JW0093","b0095",FALSE
"93","lpxC",1,1,"CDS","cds-BAB96664.1","ECK0097","JW0094","b0096",FALSE
"94","secM",1,1,"CDS","cds-BAB96665.2","ECK0098","JW5007","b0097",FALSE
"95","secA",1,1,"CDS","cds-BAB96666.2","ECK0099","JW0096","b0098",FALSE
"96","mutT",1,1,"CDS","cds-BAB96667.1","ECK0100","JW0097","b0099",FALSE
"97","yacG",1,1,"CDS","cds-BAB96668.2","ECK0101","JW5008","b0101",FALSE
"98","yacF",1,1,"CDS","cds-BAB96671.2","ECK0102","JW0099","b0102",FALSE
"99","coaE",1,1,"CDS","cds-BAE76040.1","ECK0103","JW0100","b0103",FALSE
"100","guaC",1,1,"CDS","cds-BAB96673.2","ECK0104","JW0101","b0104",FALSE
"101","hofC",1,1,"CDS","cds-BAB96674.2","ECK0105","JW0102","b0106",FALSE
"102","hofB",1,1,"CDS","cds-BAB96676.2","ECK0106","JW0103","b0107",FALSE
"103","ppdD",1,1,"CDS","cds-BAB96678.2","ECK0107","JW0104","b0108",FALSE
"104","nadC",1,1,"CDS","cds-BAE76041.1","ECK0108","JW0105","b0109",FALSE
"105","ampD",1,1,"CDS","cds-BAB96679.1","ECK0109","JW0106","b0110",FALSE
"106","ampE",1,1,"CDS","cds-BAB96680.1","ECK0110","JW0107","b0111",FALSE
"107","aroP",1,1,"CDS","cds-BAB96681.2","ECK0111","JW0108","b0112",FALSE
"108","pdhR",1,1,"CDS","cds-BAB96683.2","ECK0112","JW0109","b0113",FALSE
"109","aceE",1,1,"CDS","cds-BAB96684.2","ECK0113","JW0110","b0114",FALSE
"110","aceF",1,1,"CDS","cds-BAB96685.1","ECK0114","JW0111","b0115",FALSE
"111","lpd",1,1,"CDS","cds-BAB96686.2","ECK0115","JW0112","b0116",FALSE
"112","yacH",1,1,"CDS","cds-BAB96689.2","ECK0116","JW0113","b0117",FALSE
"113","acnB",1,1,"CDS","cds-BAB96692.2","ECK0117","JW0114","b0118",FALSE
"114","yacL",1,1,"CDS","cds-BAB96693.1","ECK0118","JW0115","b0119",FALSE
"115","speD",1,1,"CDS","cds-BAB96694.1","ECK0119","JW0116","b0120",FALSE
"116","speE",1,1,"CDS","cds-BAB96695.1","ECK0120","JW0117","b0121",FALSE
"117","yacC",1,1,"CDS","cds-BAB96696.1","ECK0121","JW0118","b0122",FALSE
"118","cueO",1,1,"CDS","cds-BAB96698.2","ECK0122","JW0119","b0123",FALSE
"119","gcd",1,1,"CDS","cds-BAB96699.1","ECK0123","JW0120","b0124",FALSE
"120","hpt",1,1,"CDS","cds-BAB96700.2","ECK0124","JW5009","b0125",FALSE
"121","can",1,1,"CDS","cds-BAB96701.2","ECK0125","JW0122","b0126",FALSE
"122","yadG",1,1,"CDS","cds-BAB96703.1","ECK0126","JW0123","b0127",FALSE
"123","yadH",1,1,"CDS","cds-BAB96705.2","ECK0127","JW0124","b0128",FALSE
"124","yadI",1,1,"CDS","cds-BAB96706.2","ECK0128","JW0125","b0129",FALSE
"125","yadE",1,1,"CDS","cds-BAB96707.2","ECK0129","JW0126","b0130",FALSE
"126","panD",1,1,"CDS","cds-BAB96708.2","ECK0130","JW0127","b0131",FALSE
"127","yadD",1,1,"CDS","cds-BAB96710.2","ECK0131","JW5010","b0132",FALSE
"128","panC",1,1,"CDS","cds-BAE76042.1","ECK0132","JW0129","b0133",FALSE
"129","panB",1,1,"CDS","cds-BAB96711.1","ECK0133","JW0130","b0134",FALSE
"130","yadC",1,1,"CDS","cds-BAB96712.1","ECK0134","JW0131","b0135",FALSE
"131","yadK",1,1,"CDS","cds-BAB96713.1","ECK0135","JW0132","b0136",FALSE
"132","yadL",1,1,"CDS","cds-BAB96714.1","ECK0136","JW0133","b0137",FALSE
"133","yadM",1,1,"CDS","cds-BAB96715.1","ECK0137","JW0134","b0138",FALSE
"134","htrE",1,1,"CDS","cds-BAE76043.1","ECK0138","JW0135","b0139",FALSE
"135","ecpD",1,1,"CDS","cds-BAB96716.1","ECK0139","JW0136","b0140",FALSE
"136","yadN",1,1,"CDS","cds-BAB96717.2","ECK0140","JW0137","b0141",FALSE
"137","folK",1,1,"CDS","cds-BAB96719.1","ECK0141","JW0138","b0142",FALSE
"138","pcnB",1,1,"CDS","cds-BAB96720.2","ECK0142","JW5808","b0143",FALSE
"139","yadB",1,1,"CDS","cds-BAB96721.2","ECK0143","JW5892","b0144",FALSE
"140","dksA",1,1,"CDS","cds-BAB96722.1","ECK0144","JW0141","b0145",FALSE
"141","sfsA",1,1,"CDS","cds-BAB96723.1","ECK0145","JW0142","b0146",FALSE
"142","ligT",1,1,"CDS","cds-BAB96724.2","ECK0146","JW5011","b0147",FALSE
"143","hrpB",1,1,"CDS","cds-BAE76044.1","ECK0147","JW0144","b0148",FALSE
"144","mrcB",1,1,"CDS","cds-BAB96725.2","ECK0148","JW0145","b0149",FALSE
"145","fhuA",1,1,"CDS","cds-BAB96726.2","ECK0149","JW0146","b0150",FALSE
"146","fhuC",1,1,"CDS","cds-BAB96727.2","ECK0150","JW0147","b0151",FALSE
"147","fhuD",1,1,"CDS","cds-BAB96728.2","ECK0151","JW0148","b0152",FALSE
"148","fhuB",1,1,"CDS","cds-BAB96729.2","ECK0152","JW0149","b0153",FALSE
"149","hemL",1,1,"CDS","cds-BAB96731.2","ECK0153","JW0150","b0154",FALSE
"150","clcA",1,1,"CDS","cds-BAB96732.2","ECK0154","JW5012","b0155",FALSE
"151","yadR",1,1,"CDS","cds-BAB96733.1","ECK0155","JW0152","b0156",FALSE
"152","yadS",1,1,"CDS","cds-BAB96734.1","ECK0156","JW0153","b0157",FALSE
"153","btuF",1,1,"CDS","cds-BAB96735.2","ECK0157","JW0154","b0158",FALSE
"154","pfs",1,1,"CDS","cds-BAB96736.1","ECK0158","JW0155","b0159",FALSE
"155","dgt",1,1,"CDS","cds-BAB96737.1","ECK0159","JW0156","b0160",FALSE
"156","degP",1,1,"CDS","cds-BAB96738.1","ECK0160","JW0157","b0161",FALSE
"157","cdaR",1,1,"CDS","cds-BAB96739.2","ECK0161","JW5013","b0162",FALSE
"158","yaeH",1,1,"CDS","cds-BAB96740.1","ECK0162","JW0159","b0163",FALSE
"159","yaeI",1,1,"CDS","cds-BAB96741.2","ECK0163","JW5014","b0164",FALSE
"160","dapD",1,1,"CDS","cds-BAB96742.1","ECK0164","JW0161","b0166",FALSE
"161","glnD",1,1,"CDS","cds-BAE76045.1","ECK0165","JW0162","b0167",FALSE
"162","map",1,1,"CDS","cds-BAB96743.1","ECK0166","JW0163","b0168",FALSE
"163","rpsB",1,1,"CDS","cds-BAB96744.1","ECK0168","JW0164","b0169",FALSE
"164","tsf",1,1,"CDS","cds-BAB96746.1","ECK0169","JW0165","b0170",FALSE
"165","pyrH",1,1,"CDS","cds-BAB96747.1","ECK0170","JW0166","b0171",FALSE
"166","frr",1,1,"CDS","cds-BAB96748.1","ECK0171","JW0167","b0172",FALSE
"167","dxr",1,1,"CDS","cds-BAA77848.2","ECK0172","JW0168","b0173",FALSE
"168","ispU",1,1,"CDS","cds-BAA77849.2","ECK0173","JW0169","b0174",FALSE
"169","cdsA",1,1,"CDS","cds-BAA77850.2","ECK0174","JW5810","b0175",FALSE
"170","yaeL",1,1,"CDS","cds-BAA77851.1","ECK0175","JW0171","b0176",FALSE
"171","yaeT",1,1,"CDS","cds-BAA77852.2","ECK0176","JW0172","b0177",FALSE
"172","hlpA",1,1,"CDS","cds-BAA77853.1","ECK0177","JW0173","b0178",FALSE
"173","lpxD",1,1,"CDS","cds-BAA77854.1","ECK0178","JW0174","b0179",FALSE
"174","fabZ",1,1,"CDS","cds-BAA77855.1","ECK0179","JW0175","b0180",FALSE
"175","lpxA",1,1,"CDS","cds-BAA77856.2","ECK0180","JW0176","b0181",FALSE
"176","lpxB",1,1,"CDS","cds-BAA77857.2","ECK0181","JW0177","b0182",FALSE
"177","rnhB",1,1,"CDS","cds-BAA77858.2","ECK0182","JW0178","b0183",FALSE
"178","dnaE",1,1,"CDS","cds-BAA77859.1","ECK0183","JW0179","b0184",FALSE
"179","accA",1,1,"CDS","cds-BAA77860.2","ECK0184","JW0180","b0185",FALSE
"180","ldcC",1,1,"CDS","cds-BAA77861.2","ECK0185","JW0181","b0186",FALSE
"181","yaeR",1,1,"CDS","cds-BAA77862.1","ECK0186","JW0182","b0187",FALSE
"182","tilS",1,1,"CDS","cds-BAA77863.1","ECK0187","JW0183","b0188",FALSE
"183","rof",1,1,"CDS","cds-BAA77864.2","ECK0188","JW0184","b0189",FALSE
"184","yaeP",1,1,"CDS","cds-BAA77865.1","ECK0189","JW0185","b4406",FALSE
"185","yaeQ",1,1,"CDS","cds-BAA77866.2","ECK0190","JW0186","b0190",FALSE
"186","yaeJ",1,1,"CDS","cds-BAA77867.2","ECK0191","JW0187","b0191",FALSE
"187","nlpE",1,1,"CDS","cds-BAA77868.1","ECK0192","JW0188","b0192",FALSE
"188","yaeF",1,1,"CDS","cds-BAA77869.2","ECK0193","JW5016","b0193",FALSE
"189","proS",1,1,"CDS","cds-BAA77870.2","ECK0194","JW0190","b0194",FALSE
"190","yaeB",1,1,"CDS","cds-BAA77871.1","ECK0195","JW0191","b0195",FALSE
"191","rcsF",1,1,"CDS","cds-BAA77873.2","ECK0196","JW0192","b0196",FALSE
"192","metQ",1,1,"CDS","cds-BAA77874.1","ECK0197","JW0193","b0197",FALSE
"193","metI",1,1,"CDS","cds-BAA77875.1","ECK0198","JW0194","b0198",FALSE
"194","metN",1,1,"CDS","cds-BAA77876.2","ECK0199","JW0195","b0199",FALSE
"195","gmhB",1,1,"CDS","cds-BAA77877.1","ECK0200","JW0196","b0200",FALSE
"196","rrsH",1,2,"rRNA,rRNA","rna-rrsH,exon-rrsH-1","ECK0201","JWR0001","b0201",FALSE
"197","ileV",1,2,"tRNA,tRNA","rna-ileV,exon-ileV-1","ECK0202","JWR0002","b0202",FALSE
"198","alaV",1,2,"tRNA,tRNA","rna-alaV,exon-alaV-1","ECK0203","JWR0003","b0203",FALSE
"199","rrlH",1,2,"rRNA,rRNA","rna-rrlH,exon-rrlH-1","ECK0204","JWR0004","b0204",FALSE
"200","rrfH",1,2,"rRNA,rRNA","rna-rrfH,exon-rrfH-1","ECK0205","JWR0005","b0205",FALSE
"201","aspU",1,2,"tRNA,tRNA","rna-aspU,exon-aspU-1","ECK0206","JWR0006","b0206",FALSE
"202","dkgB",1,1,"CDS","cds-BAA77878.2","ECK0207","JW0197","b0207",FALSE
"203","yafC",1,1,"CDS","cds-BAA77879.1","ECK0208","JW0198","b0208",FALSE
"204","yafD",1,1,"CDS","cds-BAA77880.2","ECK0209","JW5017","b0209",FALSE
"205","yafE",1,1,"CDS","cds-BAA77881.1","ECK0210","JW0200","b0210",FALSE
"206","mltD",1,1,"CDS","cds-BAA77882.2","ECK0211","JW5018","b0211",FALSE
"207","gloB",1,1,"CDS","cds-BAA77883.1","ECK0212","JW0202","b0212",FALSE
"208","yafS",1,1,"CDS","cds-BAA77884.1","ECK0213","JW0203","b0213",FALSE
"209","rnhA",1,1,"CDS","cds-BAA77885.1","ECK0214","JW0204","b0214",FALSE
"210","dnaQ",1,1,"CDS","cds-BAA77886.1","ECK0215","JW0205","b0215",FALSE
"211","aspV",1,2,"tRNA,tRNA","rna-aspV,exon-aspV-1","ECK0216","JWR0007","b0216",FALSE
"212","yafT",1,1,"CDS","cds-BAA77887.1","ECK0217","JW0206","b0217",FALSE
"213","yafU",1,1,"CDS","cds-BAE76046.1","ECK0218","JW0207","b0218",FALSE
"214","yafF",1,1,"CDS","cds-BAA77888.1","ECK0219","JW0208","b4503",FALSE
"215","yafV",1,1,"CDS","cds-BAA77889.2","ECK0220","JW5019","b0219",FALSE
"216","ivy",1,1,"CDS","cds-BAA77890.1","ECK0221","JW0210","b0220",FALSE
"217","fadE",1,1,"CDS","cds-BAA77891.2","ECK0222","JW5020","b0221",FALSE
"218","lpcA",1,1,"CDS","cds-BAA77892.1","ECK0223","JW0212","b0222",FALSE
"219","yafJ",1,1,"CDS","cds-BAA77893.1","ECK0224","JW0213","b0223",FALSE
"220","yafK",1,1,"CDS","cds-BAA77894.1","ECK0225","JW0214","b0224",FALSE
"221","yafQ",1,1,"CDS","cds-BAA77895.1","ECK0226","JW0215","b0225",FALSE
"222","dinJ",1,1,"CDS","cds-BAA77896.1","ECK0227","JW0216","b0226",FALSE
"223","yafL",1,1,"CDS","cds-BAA77897.2","ECK0228","JW0217","b0227",FALSE
"224","yafM",1,1,"CDS","cds-BAA77898.1","ECK0229","JW0218","b0228",FALSE
"225","fhiA",1,1,"CDS","cds-fhiA","ECK0230","JW5811","b0229",FALSE
"226","mbhA",1,1,"CDS","cds-mbhA","ECK0231","JW5812","b0230",FALSE
"227","dinB",1,1,"CDS","cds-BAA77901.1","ECK0232","JW0221","b0231",FALSE
"228","yafN",1,1,"CDS","cds-BAE76047.1","ECK0233","JW0222","b0232",FALSE
"229","yafO",1,1,"CDS","cds-BAA77902.1","ECK0234","JW0223","b0233",FALSE
"230","yafP",1,1,"CDS","cds-BAA77903.1","ECK0235","JW0224","b0234",FALSE
"231","ykfJ",1,1,"CDS","cds-BAA77904.2","ECK0236","JW0225","b0235",FALSE
"232","prfH",1,1,"CDS","cds-BAA77905.2","ECK0237","JW0226","b0236",FALSE
"233","pepD",1,1,"CDS","cds-BAA77906.1","ECK0238","JW0227","b0237",FALSE
"234","gpt",1,1,"CDS","cds-BAA77907.1","ECK0239","JW0228","b0238",FALSE
"235","frsA",1,1,"CDS","cds-BAA77908.2","ECK0240","JW0229","b0239",FALSE
"236","crl",1,1,"CDS","cds-BAA77909.2","ECK0241","JW0230","b0240",FALSE
"237","phoE",1,1,"CDS","cds-BAA77910.1","ECK0242","JW0231","b0241",FALSE
"238","proB",1,1,"CDS","cds-BAA77911.2","ECK0243","JW0232","b0242",FALSE
"239","proA",1,1,"CDS","cds-BAA77912.2","ECK0244","JW0233","b0243",FALSE
"240","thrW",1,2,"tRNA,tRNA","rna-thrW,exon-thrW-1","ECK0245","JWR0008","b0244",FALSE
"241","ykfI",1,1,"CDS","cds-BAA77913.2","ECK0246","JW0234","b0245",FALSE
"242","yafW",1,1,"CDS","cds-BAA77914.1","ECK0247","JW0235","b0246",FALSE
"243","ykfH",1,1,"CDS","cds-BAA77915.1","ECK0248","JW5956","b4504",FALSE
"244","ykfG",1,1,"CDS","cds-BAA77916.1","ECK0249","JW0236","b0247",FALSE
"245","yafX",1,1,"CDS","cds-BAA77917.2","ECK0250","JW5022","b0248",FALSE
"246","ykfF",1,1,"CDS","cds-BAA77918.2","ECK0251","JW5023","b0249",FALSE
"247","ykfB",1,1,"CDS","cds-BAA77919.1","ECK0252","JW0239","b0250",FALSE
"248","yafY",1,1,"CDS","cds-BAA77920.1","ECK0253","JW0240","b0251",FALSE
"249","yafZ",1,1,"CDS","cds-BAA77921.1","ECK0254","JW0242","b0252",FALSE
"250","ykfA",1,1,"CDS","cds-BAA77923.2","ECK0255","JW0243","b0253",FALSE
"251","perR",1,1,"CDS","cds-BAA77924.1","ECK0256","JW0244","b0254",FALSE
"252","ykfC",1,1,"CDS","cds-BAA77927.2","ECK0260","JW5813","b0258",FALSE
"253","mmuP",1,1,"CDS","cds-BAA77928.2","ECK0262","JW5027","b0260",FALSE
"254","mmuM",1,1,"CDS","cds-BAA77929.2","ECK0263","JW0253","b0261",FALSE
"255","afuC",1,1,"CDS","cds-BAA77930.2","ECK0264","JW0254","b0262",FALSE
"256","afuB",1,1,"CDS","cds-BAA77931.2","ECK0265","JW0255","b0263",FALSE
"257","ykgN",1,1,"CDS","cds-BAA77932.1","ECK0266","JW0258","b4505",FALSE
"258","yagB",1,1,"CDS","cds-BAE76052.1","ECK0267","JW0259","b0266",FALSE
"259","yagA",1,1,"CDS","cds-BAA77933.2","ECK0268","JW0260","b0267",FALSE
"260","yagE",1,1,"CDS","cds-BAA77934.2","ECK0269","JW0261","b0268",FALSE
"261","yagF",1,1,"CDS","cds-BAE76053.1","ECK0270","JW0262","b0269",FALSE
"262","yagG",1,1,"CDS","cds-BAE76054.1","ECK0271","JW0263","b0270",FALSE
"263","yagH",1,1,"CDS","cds-BAE76055.1","ECK0272","JW0264","b0271",FALSE
"264","yagI",1,1,"CDS","cds-BAE76056.1","ECK0273","JW0265","b0272",FALSE
"265","argF",1,1,"CDS","cds-BAE76057.1","ECK0274","JW0266","b0273",FALSE
"266","yagJ",1,1,"CDS","cds-BAE76060.1","ECK0275","JW0270","b0276",FALSE
"267","yagK",1,1,"CDS","cds-BAE76061.1","ECK0276","JW0271","b0277",FALSE
"268","yagL",1,1,"CDS","cds-BAE76062.1","ECK0277","JW0272","b0278",FALSE
"269","yagM",1,1,"CDS","cds-BAE76063.1","ECK0278","JW0273","b0279",FALSE
"270","yagN",1,1,"CDS","cds-BAE76064.1","ECK0279","JW0274","b0280",FALSE
"271","intF",1,1,"CDS","cds-BAE76065.1","ECK0280","JW0275","b0281",FALSE
"272","yagP",1,1,"CDS","cds-BAE76066.1","ECK0281","JW0276","b0282",FALSE
"273","yagQ",1,1,"CDS","cds-BAE76067.1","ECK0282","JW0277","b0283",FALSE
"274","yagR",1,1,"CDS","cds-BAE76068.1","ECK0283","JW0278","b0284",FALSE
"275","yagS",1,1,"CDS","cds-BAE76069.1","ECK0284","JW0279","b0285",FALSE
"276","yagT",1,1,"CDS","cds-BAE76070.1","ECK0285","JW0280","b0286",FALSE
"277","yagU",1,1,"CDS","cds-BAE76071.1","ECK0286","JW0281","b0287",FALSE
"278","ykgJ",1,1,"CDS","cds-BAE76072.1","ECK0287","JW0282","b0288",FALSE
"279","yagV",1,1,"CDS","cds-BAE76073.1","ECK0288","JW5030","b0289",FALSE
"280","yagW",1,1,"CDS","cds-BAE76074.1","ECK0289","JW0284","b0290",FALSE
"281","yagX",1,1,"CDS","cds-BAE76075.1","ECK0290","JW0285","b0291",FALSE
"282","yagY",1,1,"CDS","cds-BAE76076.1","ECK0291","JW0286","b0292",FALSE
"283","yagZ",1,1,"CDS","cds-BAE76077.1","ECK0292","JW0287","b0293",FALSE
"284","ykgK",1,1,"CDS","cds-BAE76078.1","ECK0293","JW5031","b0294",FALSE
"285","ykgL",1,1,"CDS","cds-BAE76079.1","ECK0294","JW5033","b0295",FALSE
"286","eaeH",1,1,"CDS","cds-BAE76082.1","ECK0297","JW0291","b0297",FALSE
"287","ykgA",1,1,"CDS","cds-BAE76085.1","ECK0300","JW5037","b0300",FALSE
"288","ykgB",1,1,"CDS","cds-BAE76086.1","ECK0301","JW5038","b0301",FALSE
"289","ykgI",1,1,"CDS","cds-BAE76087.1","ECK0302","JW5039","b0303",FALSE
"290","ykgC",1,1,"CDS","cds-BAE76088.1","ECK0303","JW5040","b0304",FALSE
"291","ykgD",1,1,"CDS","cds-BAE76089.1","ECK0304","JW0298","b0305",FALSE
